Name,Address,City,Zipcode,Statea
"Merced County Sheriff Dept","13193 Highway 33","Gustine","95322-9778","CA"
"El Dorado County Sheriff-Civil","1360 Johnson Blvd # 100","South Lake Tahoe","96150-8201","CA"
"Kern County Sheriff's Dept","1379 Sierra Hwy","Rosamond","93560-0000","CA"
"Redlands Police Dept East","1381 E Citrus Ave","Redlands","92374-4012","CA"
"San Bernardino Sheriffs Dept","13843 Peyton Dr","Chino Hills","91709-1602","CA"
"Los Angeles County Sheriff","13851 Fiji Way","Marina Del Rey","90292-6910","CA"
"Police Dept Airport Div","1387 Airport Blvd","San Jose","95110-1204","CA"
"San Pablo Police Dept","13880 San Pablo Ave","San Pablo","94806-3704","CA"
"San Bernardino County Sheriff","13215 Market St","Trona","93562-1918","CA"
"Stanislaus Cnty Police Actvty","1325 Beverly Dr","Modesto","95351-2313","CA"
"Chino City Police Dept","13250 Central Ave","Chino","91710-4127","CA"
"Stockton District Police","1326 N San Joaquin St","Stockton","95202-1120","CA"
"San Bernardino County Sheriff","13260 Central Ave","Chino","91710-4165","CA"
"Police Dept-Pier Sub-Station","133 W Torrance Blvd","Redondo Beach","90277-3633","CA"
"San Bernardino Police Dept","1332 W 5th St # 108","San Bernardino","92411-2626","CA"
"Monrovia Police Dept","140 E Lime Ave","Monrovia","91016-2898","CA"
"Glendale Police Dept-Narcotic","140 N Isabel St","Glendale","91206-4382","CA"
"Victorville Police Dept","14200 Amargosa Rd","Victorville","92392-2302","CA"
"South Pasadena Police Dept","1422 Mission St","South Pasadena","91030-3214","CA"
"San Diego County Sheriff Dept","1424 Montecito Rd","Ramona","92065-5200","CA"
"Police Dept-Property","1425 Dowell Dr","Ventura","93003-7362","CA"
"LOS Angeles County Sheriff","1427 W West Covina Pkwy","West Covina","91790-2728","CA"
"Oxnard Police Dept","143 W 5th St","Oxnard","93030-7105","CA"
"Cupertino City Police Dept","14374 Saratoga Ave","Saratoga","95070-5953","CA"
"Fairfax Police Dept","144 Bolinas Rd","Fairfax","94930-1646","CA"
"Kingsburg Police Dept","1440 Marion St","Kingsburg","93631-1927","CA"
"Police Dept Crime Prevention","14403 Pacific Ave","Baldwin Park","91706-4226","CA"
"Police Dept Records","1444 W Garvey Ave S","West Covina","91790-2716","CA"
"Kings County Sheriff's Office","1444 W Lacey Blvd","Hanford","93230-5905","CA"
"Police Dept","1575 11th St","Firebaugh","93622-2214","CA"
"San Mateo County Sheriff Dept","1580 Maple St","Redwood City","94063-2720","CA"
